2025-03-15 23:53:18,012 - | Round:  90 | train_loss: 0.98780 | test_loss: 0.98979 | train_acc: 0.56375 | test_acc: 0.56300 |
2025-03-15 23:53:20,843 - | Round:  91 | train_loss: 0.98704 | test_loss: 0.98805 | train_acc: 0.56125 | test_acc: 0.56000 |
2025-03-15 23:53:23,670 - | Round:  92 | train_loss: 0.98581 | test_loss: 0.98863 | train_acc: 0.56425 | test_acc: 0.55900 |
2025-03-15 23:53:26,492 - | Round:  93 | train_loss: 0.98475 | test_loss: 0.98712 | train_acc: 0.56775 | test_acc: 0.57200 |
2025-03-15 23:53:29,299 - | Round:  94 | train_loss: 0.98266 | test_loss: 0.98497 | train_acc: 0.57675 | test_acc: 0.56300 |
2025-03-15 23:53:32,116 - | Round:  95 | train_loss: 0.98171 | test_loss: 0.98369 | train_acc: 0.58300 | test_acc: 0.57600 |
2025-03-15 23:53:34,956 - | Round:  96 | train_loss: 0.97944 | test_loss: 0.98166 | train_acc: 0.58625 | test_acc: 0.57600 |
2025-03-15 23:53:37,802 - | Round:  97 | train_loss: 0.97682 | test_loss: 0.98091 | train_acc: 0.59100 | test_acc: 0.59000 |
2025-03-15 23:53:40,639 - | Round:  98 | train_loss: 0.97757 | test_loss: 0.97954 | train_acc: 0.58650 | test_acc: 0.58100 |
2025-03-15 23:53:43,460 - | Round:  99 | train_loss: 0.97556 | test_loss: 0.97853 | train_acc: 0.58150 | test_acc: 0.56900 |
2025-03-15 23:53:46,306 - | Round: 100 | train_loss: 0.97179 | test_loss: 0.97508 | train_acc: 0.58050 | test_acc: 0.57000 |
2025-03-15 23:53:46,306 - | Arch: fedavg | dataset: motif | lr: 0.0010 | epochs:  1 | domain: basis | seed:  0 | best_test_res: 0.59000 |
